Grupo estandarizacion;Participacion;Descripcion;OEG;Resultados;Información adicional
ISO TC 37;Activa;La misión del Comité TC 37 de ISO (Organización Internacional de Normalización)  (http://www.iso.org) es la estandarización de principios, métodos y aplicaciones relacionadas con la terminología, las industrias de la lengua y los diferentes recursos terminológicos, y de organización del conocimiento, dentro de los diversos contextos de comunicación multilingüe y diversidad cultural. Este comité cuenta con 4 subcomités y diversos grupos de trabajo dentro de cada subcomité. En este comité TC 37 participan más de 140 países. España está representada por AENOR, que es la Asociación Española de Normalización y Certificación (http://www.aenor.es).;"Guadalupe Aguado de Cea, ha sido elegida recientemente presidenta del comité espejo del ISO TC 37 en España, el AEN CTN 191 Terminología. Desde su constitución en Febrero de 2006, ha sido la secretaria de dicho comité. En este comité se han traducido al español las normas UNE-ISO 1087-1 y la norma UNE-ISO 1087-2.  Asimismo Guadalupe Aguado de Cea ha asistido regularmente a las reuniones anuales internacionales del TC 37,  como representante de España, durante los últimos cinco años  (2007-2011). Ha participado y participa activamente en algunos de los grupos de trabajo, como: el  ISO/TC 037/SC 01 ""Principles and methods"",http://www.iso.org/iso/standards_development/technical_committees/other_bodies/iso_technical_committee.htm?commid=48116
ISO/TC 037/SC 04/WG 03 ""Multilingual information representation"",
ISO/TC 037/WG 08 ""Ontologies -- Linguistic, terminological and knowledge organization aspects"",
y en los grupos Thematic Domain Groups sobre Terminología  y sobre Ontologías, dentro del Data Category Registry Group. http://www.isocat.org/
Mari Carmen Suárez-Figueroa participa como experta en ontologías en el: ISO/TC 037/WG 08 ""Ontologies -- Linguistic, terminological and knowledge organization aspects"", en el Thematic Domain Group sobre Ontologías, dentro del Data Category Registry Group, http://www.isocat.org/ ; así como en el NWIP Ontology Integration and Interoperability. http://www.tc37sc4.org/";;
DCMI Metadata Provenance Task Group;Activa;"Se ha designado un grupo de trabajo de DCMI para tratar el tema del modelado de metadatos sobre Provenance. El objetivo de este grupo es definir un ""perfil de aplicación"" (application profile) que permita asertar hechos descriptivos a sets de descripciones, creando un modelo compartido de los elementos requeridos para describir agregaciones de hechos de metadatos para importar, acceder, usar y publicar datos sobre la calidad, derechos, línea temporal, tipo, confianza, etc. de los hechos descritos previamente.";El OEG, en concreto Daniel Garijo, participa en las discusiones semanales acerca del modelo de dominio, ejemplos de uso y traducción a otros modelos de provenance.;;"Wiki del grupo: http://wiki.bib.uni-mannheim.de/dc-provenance/doku.php
Modelo de dominio (versión temporal bajo revisión): http://wiki.bib.uni-mannheim.de/dc-provenance/doku.php?id=domain_model
"
W3C Media Annotations Working Group;Activa;El objetivo del Media Annotations Working Group, que forma parte de la actividad Video in the Web, es proporcionar una ontologia y un API que sirvan para facilitar la integracion de datos relacionados con objetos multimedia (tales como videos, audios e imagenes) entre diferentes comunidades.;Un miembro del OEG (Mari Carmen Suárez-Figueroa) está participando en las discusiones semanales, el desarrollo de la ontología de recursos multimedia y ejemplos relacionados, y la revisión de los documentos de trabajo.;"Ontology for Media Resources : http:/www.w3.org/TR/mediaont-10/
Testsuite for the Ontology for Media Resources 1.0: http://www.w3.org/2008/WebVideo/Annotations/drafts/ontology10/testsuite.html
";
W3C eGovernment Interest Group;Activa;La misión del eGovernment Interest Group, que forma parte de la eGovernment Activity, es la de documentar, promover, coordinar y comunicar las mejores prácticas, soluciones y enfoques para mejorar la interfaz entre los ciudadanos y el gobierno a través del uso de estándares de la Web.;;;http://www.w3.org/2009/06/eGov/ig-charter.html
W3C SPARQL Working Group;Activa;La misión del grupo de datos enlazados de gobiernos es producir una serie de recomendaciones que puedan ayudar a los gobiernos a publicar sus datos de una manera efectiva siguiendo los principios y buenas prácticas de datos enlazados.;;;
W3C Provenance Working Group;Activa;El objetivo del Grupo de Trabajo de Provenance, que forma parte de la Actividad de la Web Semántica, es el soporte a la publicación y uso de la información de provenance en documentos web, datos y recursos. El Grupo de Trabajo publicará Recomendaciones W3c que refinen un lenguaje para intercambiar dicha información de provenance entre distintos tipos de aplicaciones.;El OEG participa a través de Daniel Garijo, que contribuye al grupo atendiendo a las reuniones semanales y al desarrollo de la ontología (prov-o), el documento de introducción al modelo (primer) y al documento de cómo se debe utilizar el vocabulario (best practices).;"PROV-Documento: introductorio http://www.w3.org/TR/prov-primer/
PROV-Ontología: http://www.w3.org/TR/prov-o/
PROV-Modelo: http://www.w3.org/TR/prov-dm/
PROV-Notación: http://www.w3.org/TR/prov-n/
PROV-Restricciones: http://www.w3.org/TR/prov-constraints/
PROV-Acceso y consulta: http://www.w3.org/TR/prov-aq/";
RDB2RDF Working Group;Activa;La misión del RDB2RDF Working Group, que forma parte de la Semantic Web Activity, es la de estandarizar un lenguaje de mappings entre bases de datos relacionales y lenguajes de la Web Semántica como RDF y OWL. Como resultado inicial, se ha creado un lenguaje denominado R2RML (RDB2RDF Mapping Language).;"Boris Villazón-Terrazas y Alexander de León participan en este grupo. Se espera que la participación efectiva en el Participation RDB2RDF Working Group consuma un día de trabajo por semana para cada participante; dos días de trabajo para los editores. El RDB2RDF Working Group distribuirá todos los recursos necesarios para construir conjuntos de pruebas para cada especificación.";;"Lista de correo del grupo: public-rdb2rdf-wg@w3.org
Documentos de trabajo:
R2RML: RDB to RDF Mapping Language: http://www.w3.org/2001/sw/rdb2rdf/r2rml/
A Direct Mapping of Relational Data to RDF: http://www.w3.org/2001/sw/rdb2rdf/directMapping/
R2RML Test Cases: http://www.w3.org/2001/sw/rdb2rdf/test-cases/"
Semantic Sensor Networks Community Group;Activa;To continue the work of the Semantic Sensor Networks Incubator Group (the SSN-XG) in defining and using ontologies and mappings for querying, managing and understanding sensors, sensor networks and observations. This community group will also serve as a community and access point for ontologies (such as the group's SSN ontology) and technologies developed for semantic sensor networks.;;;http://www.w3.org/community/ssn-cg/
Semantic News Community Group;Activa;"The Semantic News Community Group is a forum for exploring the intersection of W3C semantic technologies and news gathering, production, distribution and consumption. It will focus on a common representation for abstract ideas in the news domain such as a 'news event' or a domain ontology for news. This includes the following subject areas: Review, test and comment on existing and proposed standards for semantic technologies in the news domain.; Encourage the reuse of well-known datasets and ontologies and propose mappings between them as required.; Best practices for publishing, exchanging and linking data, including use cases.; Development of prototypes to help build the business case for this approach.; Discuss design principles of schemas and ontologies.";;;http://www.w3.org/community/semnews/
Networked Data Community Group;Activa;The Networked Data Community Group aims to provide a forum for collecting use cases including but not limited to the fields of science data (such as biology, astronomy, etc.), economics data (financial markets, etc.), health care, configuration and systems management, Green IT, and smart infrastructures (cities, etc.). Based on the collection of use cases the CG will derive requirements and write up best practices for dealing with the dynamics of the data.ite for the Ontology for Media Resources 1.0: http://www.w3.org/2008/WebVideo/Annotations/drafts/ontology10/testsuite.html;;http://www.w3.org/community/networked-data/;
Government Linked Data Working Group;Activa;La misión del grupo de datos enlazados de gobiernos es producir una serie de recomendaciones que puedan ayudar a los gobiernos a publicar sus datos de una manera efectiva siguiendo los principios y buenas prácticas de datos enlazados.;;;
Linked Data Platform (LDP) Working Group;Activa;;;;
Ontology-Lexica Community Group;Activa;;;;
