Proyecto,id project,Participante,id people
Drugs4COVID,drugs4covid,Oscar Corcho,ocorcho
Drugs4COVID,drugs4covid,Carlos Badenes,cbadenes
Drugs4COVID,drugs4covid,David Chaves,dchaves
Drugs4COVID,drugs4covid,Maria Poveda,mpoveda
Drugs4COVID,drugs4covid,Pablo Calleja,pcalleja
Drugs4COVID,drugs4covid,Ana Iglesias,aiglesias
RELIANCE,reliance,Oscar Corcho,ocorcho
RELIANCE,reliance,Esteban González,eguardia
RELIANCE,reliance,Daniel Garijo,dgarijo
RELIANCE,reliance,Carlos Badenes,cbadenes
RedTematicaOpenScience,rtopenscience,Oscar Corcho,ocorcho
RedTematicaOpenScience,rtopenscience,Esteban González,eguardia
RedTematicaOpenScience,rtopenscience,Daniel Garijo,dgarijo
theyBuyForYou,theybuyforyou,Oscar Corcho,ocorcho
theyBuyForYou,theybuyforyou,Francisco Yedro,fyedro
theyBuyForYou,theybuyforyou,Carlos Badenes,cbadenes
CLARITY,clarity,Oscar Corcho,ocorcho
STARS4ALL,stars4all,Oscar Corcho,ocorcho
STARS4ALL,stars4all,Vicky de Pablo Llorente,
STARS4ALL,stars4all,Esteban González Guardia,eguardia
SlideWiki,slidewiki,Oscar Corcho,ocorcho
SlideWiki,slidewiki,Mari Carmen Suárez,mc-suarez
SlideWiki,slidewiki,Mariano Rico,mrico
SlideWiki,slidewiki,Edna Ruckhaus,ednaruckhaus
SlideWiki,slidewiki,Francisco Yedro,fyedro
MobileAge,mobileage,Oscar Corcho,ocorcho
MobileAge,mobileage,Freddy Priyatna,
MobileAge,mobileage,Nelson Saturno,
esTextAnalytics,es-textanalytics,OEG,oeg
TransformingTransport,transforming-transport,Oscar Corcho,ocorcho
TransformingTransport,transforming-transport,Francisco Yedro,fyedro
OASIS,oasis,Oscar Corcho,ocorcho
OASIS,oasis,David Chaves,dchaves
VICINITY,vicinity,Raúl García,rgarcia
VICINITY,vicinity,Fernando Serena,
VICINITY,vicinity,María Poveda,mpoveda
VICINITY,vicinity,Alba Fernández,albafernandez
ReTeLe,retele,OEG,oeg
DrInventor,drInventor,Oscar Corcho,ocorcho
DrInventor,drInventor,Carlos Badenes,cbadenes
DrInventor,drInventor,José Luis Redondo,
DrInventor,drInventor,David Chaves,dchaves
LIDER,lider,Asunción Gómez Pérez,asun_oeg
LIDER,lider,Guadalupe Aguado-de-Cea,
LIDER,lider,Jorge Gracia,
LIDER,lider,Víctor Rodríguez Doncel,vrodriguez
LIDER,lider,David Vila-Suero,
Wf4Ever,wf4ever,Oscar Corcho,ocorcho
Wf4Ever,wf4ever,Mariano Rico,mrico
Wf4Ever,wf4ever,Rafael González Cabero,
Wf4Ever,wf4ever,Daniel Garijo,dgarijo
PlanetData,planetdata,Oscar Corcho,ocorcho
PlanetData,planetdata,Freddy Priyatna,
PlanetData,planetdata,Alejandro Llaves,
CIUDAD2020,ciudad2020,Oscar Corcho,ocorcho
CIUDAD2020,ciudad2021,Luis Manuel Vilches Blázquez,
BabelData,babeldata,Asunción Gómez Pérez,asun_oeg
BabelData,babeldata,Guadalupe Aguado-de-Cea,
BabelData,babeldata,Mariano Fernández López,
BabelData,babeldata,Elena Montiel Ponsoda,emontiel
BabelData,babeldata,Jorge Gracia del Río ,
BabelData,babeldata,Inmaculada Álvarez de Mon,
BabelData,babeldata,Esther Lozano Hontecillas,
BabelData,babeldata,Mari Carmen Suárez Figueroa de Baonza,mc-suarez
BabelData,babeldata,Rosario Plaza Arteche,
BabelData,babeldata,Boris Villazón Terrazas,
READY4SmartCities,ready4smartcities,Raúl García Castro,rgarcia
READY4SmartCities,ready4smartcities,María Poveda Villalón,mpoveda
READY4SmartCities,ready4smartcities,Filip Radulovic,
READY4SmartCities,ready4smartcities,Asunción Gómez Pérez,asun_oeg
myBigData,mybigdata,Oscar Corcho,ocorcho
myBigData,mybigdata,Jean-Paul Calbimonte,
myBigData,mybigdata,Andrés García,
myBigData,mybigdata,Freddy Priyatna,
myBigData,mybigdata,José Mora,
myBigData,mybigdata,Carlos Buil,
myBigData,mybigdata,María Pérez,mperez
myBigData,mybigdata,Luis Vilches,
myBigData,mybigdata,Raúl García,rgarcia
ALM iStack,alm-istack,Asunción Gómez Pérez,asun_oeg
ALM iStack,alm-istack,Raúl García Castro,rgarcia
ALM iStack,alm-istack,Miguel Esteban,
ALM iStack,alm-istack,Nandana Mihindukulasooriya,
ALM iStack,alm-istack,María Pérez,mperez
ALM iStack,alm-istack,Guadalupe Aguado-de-Cea,
SemsorGrid4Env,semsorgrid4env,Oscar Corcho,ocorcho
SemsorGrid4Env,semsorgrid4env,Asunción Gómez Pérez,asun_oeg
SemsorGrid4Env,semsorgrid4env,Jean-Paul Calbimonte,
Anotación de fichas técnicas con SNOMED-CT,ft-snomed-ct,Asunción Gómez Pérez,asun_oeg
Anotación de fichas técnicas con SNOMED-CT,ft-snomed-ct,Guadalupe Aguado-de-Cea,
Anotación de fichas técnicas con SNOMED-CT,ft-snomed-ct,Raúl García-Castro,rgarcia
Anotación de fichas técnicas con SNOMED-CT,ft-snomed-ct,Pablo Calleja Ibáñez,pcalleja
