Investigation,id research area,Participants,id people
Ingenieria ontologica,ontological-engineering,Asunción Gómez-Pérez,asun_oeg
Ingenieria ontologica,ontological-engineering,Mari Carmen Suárez-Figueroa,mc-suarez
Ingenieria ontologica,ontological-engineering,Mariano Fernández-López,
Ingenieria ontologica,ontological-engineering,Jorge Gracia,
Ingenieria ontologica,ontological-engineering,Esther Lozano ,
Ingenieria ontologica,ontological-engineering,María Poveda,mpoveda
Web semantica y linked data,knowledge-graph,Asunción Gómez-Pérez,asun_oeg
Web semantica y linked data,knowledge-graph,Óscar Corcho,ocorcho
Web semantica y linked data,knowledge-graph,Mari Carmen Suárez-Figueroa,mc-suarez
Web semantica y linked data,knowledge-graph,Raúl García-Castro,rgarcia
Web semantica y linked data,knowledge-graph,Héctor Andres García-Silva,
Web semantica y linked data,knowledge-graph,Luis Vilches.,
e-Ciencia semantica,open-science,Óscar Corcho,ocorcho
e-Ciencia semantica,open-science,María Pérez Hernández,mperez
e-Ciencia semantica,open-science,Rafael González,
e-Ciencia semantica,open-science,Daniel Garijo,dgarijo
e-Ciencia semantica,open-science,Idafen Santana,
e-Ciencia semantica,open-science,Olga Giraldo,
e-Ciencia semantica,open-science,Carlos Badenes,cbadenes
Ingenieria lingüística,linguistic-engineering,,
Integracion de datos (Big Data e Internet del Futuro),data-integration,Óscar Corcho,ocorcho
Integracion de datos (Big Data e Internet del Futuro),data-integration,Raúl García-Castro,rgarcia
Integracion de datos (Big Data e Internet del Futuro),data-integration, Alejandro Llaves,
Integracion de datos (Big Data e Internet del Futuro),data-integration,José Mora,
Integracion de datos (Big Data e Internet del Futuro),data-integration,Freddy Priyatna,
