Resultados ;Column1;Descripcion;Enlace;Figuras;Informacion adicional
Publicaciones;;;http://oa.upm.es/cgi/search/advanced?screen=Public%3A%3AEPrintSearch&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&contributors_name_merge=ALL&contributors_name=&_fulltext__merge=ALL&_fulltext_=&abstract_merge=ALL&abstract=&keywords_merge=ALL&keywords=&subjects_merge=ALL&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&event_title_merge=ALL&event_title=&note_merge=ALL&note=OEG&date=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Buscar;;
Ontologías;;;;;
Tecnologías y modelos;CIDER-CL;"CIDER-CL es un sistema para el alineamiento monolingue y multilingüe entre ontologías. Para ello utiliza varias medidas semánticas como SoftTFIDF y Cross-Lingual Explicit Semantic Analysis. El cálculo de diferentes similitudes semánticas se combina mediante el uso de redes neuronales artificiales. CIDER-CL tiene dos modos de operar:
-Alineador de ontologías: toma dos ontologías en OWL como entrada y descubre sus equivalencias, que son ofrecidas como salida en formato RDF.
-Servicio de similitud semántica: toma dos entidades ontológicas como entrada y da el valor numérico de la similitud semática entre ellos como salida. ";https://www.oeg-upm.net/files/cider-cl;;
Tecnologías y modelos;geometry2rdf;geometry2rdf es una librería para generar ficheros RDF a partir de información geométrica (que puede estar disponible en GML o WKT). La manipulación del GML y WKT se realiza con GeoTools. La version actual de la librería trabaja con bases de datos geoespaciales y se basaa en Jena. geometry2rdf ha sido desarrollado por el equipo de GeoLinked Data (.es).;https://oeg.fi.upm.es/files/geometry2rdf/geometry2rdf_bin_0.0.3.zip;https://oeg.fi.upm.es/images/stories/tecnologias/geometry2rdf.png;"Quick start
Necesitas: Java 1.5 o superior en el path (comprueba con java -version si no estás seguro)
Que hacer:
-Descargar y extraer los archivos a un directorio de trabajo.
-La distribución actual viene con un un fichero de propiedades de ejemplo.   Este fichero puede usarse como el fichero base con el que puedes empezar a trabajar.
-Ejecuta geometry2rdf desde línea de comandos.
-Espera hasta que finalice, y comprueba el fichero rdf creado.
Trabajando con el fichero de configuración
La librería necesita un fichero de propiedades para su ejecución. El nombre por defecto del fichero es options.properties. Se proporciona un fichero de pruebas con ese nombre en la distribución para us uso. Si quieres usar un fichero diferente, cambia la ruta del fichero de propiedades en el fichero bat.                                                                                                                        Estructura del fichero de propiedades:
1. Input and output parameters: Directorio de trabajo y nombre del fichero de salida.
2. DDBB parameters: Todos los parámetros necesarios para la conexión con la BBDD se configuran en esta sección. También se configuran en esta sección el nombre del tipo de recursos que se van a crear.
3. Namespaces parameters: En esta sección se indican los namespaces y prefijos para los recursos generados y para la ontología usada.
4. Reference systems parameters: Geometry2rdf funciona para sistemas de referencia EPSG. Si tus datos gml no están en EPGS, se necesita una transformación entres tu sistema de referencia y un sistema de referencia EPSG. Para ello, utiliza los campos fields gmlSourceRS y gmlTargetRS. Si se require o se desea alguna tranformación más para los datos en el fichero RDF resultante, utilice sourceRS and targetRS.
5. Types parameters: En esta sección, se definen las URIs para los recursos Point, Linestring and Polygon. También se define la URI de la relación ""formBy"". Un recurso Linestring y Polygon están ""formBy"" Points.
6. Other parameters: En esta sección, se define el lenguaje por defecto de las etiquetas de cada recurso.                                       Ejemplos de ficheros RDF de salida.
Aquí puedes consultar unos ejemplos de ficheros RDF de salida:
-Ejemplo de un recurso de tipo Municipio con geometría formada por un único punto. https://oeg.fi.upm.es/files/geometry2rdf/Point.rdf
-Ejemplo de un recurso de tipo Balsa con una geometría de tipo Linestring. https://oeg.fi.upm.es/files/geometry2rdf/Linestring.rdf
-Ejemplo de un recurso de tipo Pozo con una geometría de tipo Polygon. https://oeg.fi.upm.es/files/geometry2rdf/Polygon.rdf"
Tecnologías y modelos;gOntt;"gOntt es una herramienta para planificar y ejecutar proyectos de desarrollo cuyas principales características son las siguientes:
-Hace uso de plantillas orientadas a la planificación de desarrollos de ontologías. Estos desarrollos se basan en los escenarios propuestos por la NeOn Methodology.
-Genera las planificaciones de proyectos de desarrollo de ontologías en forma de diagramas Gantt.
-Informa a los desarrolladores de ontologías sobre cómo llevar a cabo un proceso o una actividad haciendo uso de guías metodológicas prescriptivas. También informa sobre las herramientas específicas de NeOn Toolkit que deben ser usadas.";http://neon-toolkit.org/wiki/Download;https://oeg.fi.upm.es/images/stories/tecnologias/gontt.png;"Funcionalidades de gOntt para la planificación de proyectos de desarrollo de ontologías.
gOntt ayuda a los desarrolladores de ontologías a decidir qué ciclo de vida es el más apropiado para construir sus ontologías (cascada o incremental-iterativo) así como qué procesos y actividades deben llevarse a cabo y en qué orden (por ejemplo, especificar los requisitos de la ontología antes de proceder a la transformar un recurso de conocimiento en una ontología). gOntt genera una representación gráfica de la planificación en forma de diagrama Gantt con los procesos y actividades requeridos, incluyendo las restricciones entre ellos. Las planificaciones de proyectos de desarrollo de ontologías pueden ser creadas desde cero (incluyendo procesos, actividades, fases y restricciones entre todos ellos) o de un modo guiado.
En el modo guiado, gOntt crea un plan preliminar para el desarrollo de la ontología en forma de:
-Plantillas que generan automáticamente la planificación inicial para proyectos de desarrollo de ontologías. Estas plantillas han sido construidas teniendo en cuenta la metodología NeOn. Las plantillas contienen un plan por defecto basado en las diferentes posibles combinaciones que se pueden dar entre modelos de ciclos de vida y procesos y actividades.
-Un simple asistente en dos pasos que contiene preguntas intuitivas que permiten al desarrollador de ontologías seleccionar el modelo de ciclo de vida de las ontologías y los procesos y actividades necesarias para su desarrollo. Para contestar a tales preguntas el desarrollador de ontologías ha de tener en cuenta los requisitos de la ontología y el tipo de recursos de conocimiento candidatos para ser reutilizados.
La principal salida de gOntt es el plan inicial para la construcción de la ontología en forma de diagrama Gantt que el desarrollador puede modificar con posterioridad ya sea: (a) incluyendo, modificando o borrando procesos, actividades y fases, (b) cambiando el orden y las dependencias entre procesos y actividades, e (c) incluyendo asignación de recursos y restricciones al plan. Esta funcionalidad de generar planes preliminares por defecto supone una gran ventaja sobre otras herramientas de planificación de proyectos.

Funcionalidades de gOntt para ayudar a la ejecución de proyectos
gOntt proporciona guías metodologías prescriptivas en forma de: (1) tarjetas que incluyen la definición de los procesos o actividades, sus objetivos, entradas, salidas, ejecutores de la acción y momento de la ejecución, y (2) un flujo de trabajo que describe cómo debe ser llevado a cabo el proceso o la actividad, así como sus entradas, salidas, tareas y actores involucrados. Además, gOntt proporciona un acceso directo y automatizado a las herramientas de NeOn Toolkit asociadas a cada proceso y actividad. Complementariamente, gOntt muestra una guía de comienzo rápido para cada herramienta lanzada.

Cómo utilizar gOntt
Para usar gOntt, en primer lugar, se debe instalar NeOn Toolkit (http://neon-toolkit.org/wiki/Download), y después, el plugin gOntt.En el siguiente enlace (http://www.neon-project.org/nw/Movie:_gOntt) se muestra un vídeo que muestra cómo usar gOntt."
Tecnologías y modelos;Kyrie;"Kyrie es un sistema de reescritura de consultas que usa una ontología para reescribir una consulta Datalog en otra consulta Datalog que captura el conocimiento de la ontología. La consulta reescrita obtiene extensionalmente de la fuente de datos los resultados (certain answers) que están implicados tanto extensionalmente como intensionalmente por la consulta original. En el caso de las consultas no recursivas es posible desplegar la consulta Datalog en una unión de consultas conjuntivas, la cual puede ser posteriormente transformada a SQL u otros lenguajes, con otras herramientas como Morph.
Kyrie se inició como una derivación de REQUIEM. Los objetivos para este sistema han sido:
-mejorar los tiempos de reescritura
-producir consultas más cortas cuando sea posible, puesto que deberían suponer una carga computacional menor para los sistemas que aceptan las consultas reescritas
-mantener la lógica expresiva ELHIO para la descripción de la ontología
Estos objetivos han sido satisfechos como puede verse en la evaluación.";http://j.mp/benchmarkqueryrewriting;;"Las principales publicaciones referentes a este trabajo son las siguientes:
-Mora, José and Corcho, Óscar. ""Engineering optimisations in query rewriting for OBDA"" I-SEMANTICS, 2013, 4-6 de septiembre 2013, Graz, Austria.
-Mora, J. & Corcho, O. (2013). Towards a systematic benchmarking of ontology-based query rewriting systems. The 12th International Semantic Web Conference (ISWC2013) (p./pp. 369--384), 21-26 de octubre 2013, Sydney, Australia."
Tecnologías y modelos;LabelTranslator;"LabelTranslator es un plug-in desarrollado dentro del proyecto NeOn. Este plug-in está implementado para la herramienta NeOn Toolkit y su función es la localización de los elementos , clases y propiedades, de una ontología en OWL creando un modelo repositorio lingüístico, llamado LIR por sus iniciales en inglés (Linguistic Information Repository).
El acceso multilingüe a las ontologías, hoy en día, se exige por parte de las instituciones de todo el mundo con un gran número de recursos disponibles en diferentes idiomas. Para resolver este problema, proponemos LabelTranslator, un plug-in que automáticamente localiza ontologías. LabelTranslator toma como entrada una ontología cuyas etiqueta se describen en un lenguaje natural fuente y obtiene la traducción más probable en lenguaje natural destino. En total, el plug-in soporta las siguientes funcionalidades:
-Obtiene la traducción más probable para cada etiqueta de la ontología. LabelTranslator se basa en dos módulos avanzados para esta tarea. El primer servicio, de traducción, obtiene automáticamente las diferentes traducciones posibles de una etiqueta de la ontología mediante el acceso a diferentes recursos lingüísticos. Este servicio también utiliza un método de composición con el fin de traducir las etiquetas compuestas (etiquetas formadas por varias palabras). El segundo módulo, el ranking de las traducciones, ordena las diferentes traducciones de acuerdo a la similitud con su contexto léxico y semántico. El método se basa en una medida de relación sobre la base de glosas a la ambigüedad de las traducciones. Esto se realiza mediante la comparación de los sentidos asociados a cada posible traducción y su contexto.
-Captura toda la información lingüística asociada con los conceptos utilizando un modelo lingüístico como repositorio (LIR). LIR, Repositorio de Información Lingüística, es un modelo portátil que se puede asociar a cualquiera de los términos de una ontología OWL a través de un meta-ontología OWL. Las clases principales que componen LIR (lexicalización, sentido de la definición, contexto de uso, notas y procedencia) se organizan alrededor de la clase LexicalEntry, que está vinculado a  cada término de la ontología (por medio de la relación hasLexicalEntry). El conjunto de conceptos LIR permite una completa descripción en lenguaje natural del término de la ontología al que está asociado. Además, por medio de las típicas relaciones léxicas ya sea en el mismo idioma (por ejemplo, hasSynonym) a través de idiomas (hasTranslation), LIR organiza la información lingüística en el mismo lenguaje natural y entre diferentes idiomas con el fin de proporcionar un conjunto multilingüe de información que permita la localización  de la ontología.
-Utiliza un mecanismo de sincronización para mantener la ontología y la información lingüística sincronizada. La adición de nuevos términos en la ontología o la supresión de términos existentes se controla mediante el avanzado seguimiento de cambios (basado en los recursos Delta1) utilizado en NeOn Toolkit. Este mecanismo es capaz de captar los cambios aun cuando ontológicamente hayan cambiado su posición en el modelo de la ontología. Con la adopción de esta función, LabelTranslator puede identificar con precisión el conjunto mínimo de cambios necesarios para ajustar la estructura del modelo lingüístico, un paso crítico para asegurar que un cambio importante se haga  en la ontología localizado.
Para descargar LabelTranslator, es necesario disponer de NeOn Toolkit que se puede descargar desde la página principal del proyecto NeOn Toolkit. Una vez descargada la herramienta e instalada, mediante el update site que proporciona la herramienta, podrá descargarse el plug-in LabelTranslator. La documentación de uso está disponible en la herramienta una vez descargado el plug-in e instalado.";;;
Tecnologías y modelos;LDP4j;LDP4j es un framework de código abierto basado en Java para el desarrollo de aplicaciones de lectura y escritura de Linked Data basados en la especificación Linked Data Platform 1.0 (LDP) del W3C. LDP4j proporciona los componentes requeridos por los clientes y servidores para manejar sus comunicaciones basadas en LDP, ocultando la complejidad de los detalles del protocolo de los desarrolladores de aplicaciones y dejando que se centran en el desarrollo de su lógica de negocio específica para su aplicación.;http://www.ldp4j.org/;;
Tecnologías y modelos;Lexical Model for ONtologies (lemon);Lexical Model for ONtologies (lemon) es un modelo desarrollado colaborativamente en el proyecto Monnet y concebido para ser un estándar para el intercambio de información léxica en la Web Semántica. lemon se basa en trabajo anterior de miembros de Monnet como los modelos LexInfo, LIR, y LM. El modelo lemon pretende ser un modelo: conciso, descriptivo (no prescritivo), modular, y basado en RDF.;http://lemon-model.net/;;
Tecnologías y modelos;LIR - Linguistic Information Repository;;;;
